Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Ball State,Mercyhurst,1,5,MAC,PSAC,1,d2
UMBC,Kutztown,0,2,Am East,PSAC,1,d2
Wyoming,Colorado Mines,1,1,Mountain West,Rocky Mountain,1,d2
Wisconsin-Parkside,Drake,4,0,Great Lakes Valley,MVC,1,d2
South Dakota State,Augustana,0,6,Summit,Northern Sun,1,d2
Penn State,West Chester,0,8,Big Ten,PSAC,1,d2
Eastern Illinois,Illinois-Springfield,1,3,OVC,Great Lakes Valley,1,d2
Radford,Emory and Henry,0,4,Big South,Old Dominion Athletic,1,d3
Tougaloo College,Arkansas Pine Bluff,16,0,Gulf Coast Athletic,SWAC,1,naia
Northern Iowa,Viterbo,0,9,MVC,Midwest Collegiate,1,naia
Western Kentucky,Union (Ky.),0,5,C-USA,Appalachian Athletic,1,naia
Faulkner,Alabama State,1,1,Southern States,SWAC,1,naia
North American University,Arkansas Pine Bluff,4,2,Red River,SWAC,1,naia
Purdue Fort Wayne,St. Francis (Ind.),0,7,Horizon,Crossroads,1,naia
Furman,North Greenville,0,4,Southern,Conference Carolinas,2,d2
Montana,Montana State-Billings,0,4,Big Sky,Great Northwest,2,d2
North Dakota,Minnesota State- Moorhead,0,2,Summit,Northern Sun,2,d2
The Citadel,Francis Marion,0,5,Southern,Peach Belt,2,d2
Gardner-Webb,Allen University,0,8,Big South,Independent,2,d2
Hawaii Pacific,Sacramento State,1,0,Pacific West,Big Sky,2,d2
Texas Southern,St. Mary's Texas,2,3,SWAC,Heartland,2,d2
Western Oregon,St. Thomas (Minn.),0,0,Great Northwest,Summit,2,d2
East Texas Baptist,Grambling State,1,0,American Southwest,SWAC,2,d3
Portland State,Pacific University,1,3,Big Sky,Northwest,2,d3
Presbyterian,Columbia International University,0,2,Big South,N/A,2,naia
Winthrop,Southern Wesleyan,0,9,Big South,Conference Carolinas,3,d2
Cal State San Marcos,Masters College,0,2,CCAA,Golden State Athletic,3,d2
Indianapolis,Cedarville,0,1,Great Lakes Valley,G-MAC,3,d2
Abilene Christian,Texas-Permian Basin,5,0,WAC,Heartland,3,d2
Cedarville,Oklahoma Baptist,0,1,G-MAC,Great American,3,d2
St. Lawrence,Nazareth,1,1,Liberty League,Empire 8,3,d3
UTRGV,Concordia-Texas,1,1,WAC,American Southwest,3,d3
Central Baptist,Arkansas Pine Bluff,0,0,Midlands Collegiate,SWAC,3,naia
Northern Iowa,Saint Ambrose,0,3,MVC,Midwest Collegiate,3,naia
South Dakota,Morningside,0,7,Summit,Great Plains Athletic,3,naia
Cal State San Marcos,Masters College,0,2,CCAA,Golden State Athletic,3,naia
Eastern Washington,University of Providence,1,16,Big Sky,Frontier,3,naia
Talladega College,Alabama State,4,0,Gulf Coast Athletic,SWAC,3,naia
Lyon College,Arkansas Pine Bluff,10,0,American Midwest,SWAC,3,naia
Cal State San Marcos,Fresno Pacific,0,3,CCAA,Pacific West,4,d2
Maryville,Cedarville,0,1,Great Lakes Valley,G-MAC,4,d2
Toledo,Northwood (Mich),1,2,MAC,GLIAC,4,d2
Cal State San Marcos,Point Loma Nazarene,0,2,CCAA,Pacific West,4,d2
Missouri-St. Louis,Cedarville,1,2,Great Lakes Valley,G-MAC,4,d2
Indiana,Hanover College,0,6,Big Ten,Heartland Collegiate,4,d3
CSU Bakersfield,Westmont,0,1,Big West,Golden State Athletic,4,naia
Jacksonville,Warner,0,3,Atlantic Sun,The Sun,4,naia
Detroit Mercy,Concordia (Mich.),0,6,Horizon,Wolverine-Hoosier,4,naia
Alcorn State,East Mississippi Community College,0,10,SWAC,MACJC,4,njcaa
Howard,Virginia State,0,9,Northeast,Central Intercollegiate Athletic Association,5,d2
Cedarville,Findlay,2,0,G-MAC,GLIAC,5,d2
Cal State San Marcos,Westmont,0,5,CCAA,Golden State Athletic,5,d2
Northwood (Mich),Cedarville,2,3,GLIAC,G-MAC,5,d2
Hartford,Merrimack,1,2,Commonwealth,Northeast,5,d3
Texas Southern,Sul Ross State University,1,3,SWAC,American Southwest,5,d3
Belhaven,Mississippi Valley,2,1,Southern States,SWAC,5,naia
Cal State San Marcos,Westmont,0,5,CCAA,Golden State Athletic,5,naia
Southeast Missouri State,Columbia College (MO),0,1,OVC,American Midwest,5,naia
Alcorn State,Tougaloo College,0,13,SWAC,Gulf Coast Athletic,5,naia
Cal State San Marcos,Biola,1,2,CCAA,Pacific West,6,d2
Cedarville,Lake Erie,4,0,G-MAC,GLIAC,6,d2
Cal State San Marcos,Cal State East Bay,0,0,CCAA,CCAA,6,d2
Cedarville,Ohio Dominican University,1,0,G-MAC,GLIAC,6,d2
Kentucky Wesleyan,Cedarville,0,7,Great Lakes Valley,G-MAC,7,d2
Stanislaus State,Cal State San Marcos,1,2,CCAA,CCAA,7,d2
Ashland,Cedarville,1,3,G-MAC,G-MAC,7,d2
Cal State Chico,Cal State San Marcos,0,0,CCAA,CCAA,7,d2
Navy,Marymount (Va.),0,11,Patriot,Atlantic East Conference,7,d3
Cedarville,Walsh,1,2,G-MAC,GLIAC,8,d2
Cal State San Marcos,Cal State Dominguez Hills,6,0,CCAA,CCAA,8,d2
Cedarville,Trevecca Nazarene,0,0,G-MAC,G-MAC,8,d2
Cal State San Marcos,Cal State Los Angeles,0,0,CCAA,CCAA,8,d2
Cal State Monterey Bay,Cal State San Marcos,0,2,CCAA,CCAA,9,d2
Cal State San Marcos,San Francisco State,2,0,CCAA,CCAA,9,d2
Cal State San Marcos,Sonoma State,0,0,CCAA,CCAA,10,d2
Cal State San Marcos,Humboldt State,0,0,CCAA,CCAA,10,d2
Cal State San Bernardino,Cal State San Marcos,2,2,CCAA,CCAA,11,d2
South Carolina State,South Carolina-Aiken,2,2,Indep.,Peach Belt,11,d2
Cal Poly Pomona,Cal State San Marcos,0,1,CCAA,CCAA,11,d2
