Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
UCLA,Georgia,0,2,Pac-12,SEC,1
Penn State,North Carolina,0,0,Big Ten,ACC,1
Texas A&M,Florida State,2,1,SEC,ACC,1
San Diego,Stanford,4,0,WCC,Pac-12,1
Virginia,Nevada,0,5,ACC,Mountain West,1
Notre Dame,Wisconsin-Milwaukee,2,2,ACC,Horizon,1
Duke,West Virginia,0,2,ACC,Big 12,1
Alabama,DePaul,2,0,SEC,Big East,1
Arkansas,Arkansas State,0,6,SEC,Sun Belt,1
Clemson,South Carolina,0,0,ACC,SEC,1
BYU,Saint Louis,3,2,Big 12,A10,1
Long Beach State,Texas,4,3,Big West,Big 12,1
TCU,SMU,1,0,Big 12,AAC,1
Buffalo,Pittsburgh,2,1,MAC,ACC,1
Marquette,Northwestern,0,4,Big East,Big Ten,1
Michigan State,Cincinnati,1,0,Big Ten,Big 12,1
Pepperdine,Georgetown,1,1,WCC,Big East,1
Santa Clara,San Jose State,2,1,WCC,Mountain West,1
Memphis,Southern University,0,6,AAC,SWAC,1
USC,Michigan,0,1,Pac-12,Big Ten,1
Albany,Hofstra,1,2,Am East,CAA,1
American,Maryland,0,0,Patriot,Big Ten,1
Arizona State,Wright State,4,0,Pac-12,Horizon,1
Auburn,Samford,0,0,SEC,Southern,1
Austin Peay,UT Martin,2,1,Atlantic Sun,OVC,1
Ball State,Mercyhurst,1,5,MAC,PSAC,1
Belmont,North Alabama,0,1,MVC,Atlantic Sun,1
Boston University,Vermont,0,1,Patriot,Am East,1
Bucknell,Saint Joseph's,4,0,Patriot,A10,1
Butler,Virginia Tech,3,0,Big East,ACC,1
CSUN,Portland,1,0,Big West,WCC,1
Cal State Fullerton,Boston College,0,0,Big West,ACC,1
Canisius,Colgate,0,4,MAAC,Patriot,1
Chicago State,Purdue Fort Wayne,1,0,Indep.,Horizon,1
Coastal Carolina,UNC Wilmington,0,1,Sun Belt,CAA,1
College of Charleston,USC Upstate,2,2,CAA,Big South,1
Colorado,Northern Colorado,0,3,Pac-12,Big Sky,1
Colorado College,Louisiana Tech,1,3,Mountain West,C-USA,1
Creighton,Nebraska,2,2,Big East,Big Ten,1
Dayton,Loyola (MD),1,4,A10,Patriot,1
Delaware,Syracuse,1,0,CAA,ACC,1
Denver,Colorado State,1,1,Summit,Mountain West,1
Detroit Mercy,Central Michigan,3,3,Horizon,MAC,1
Drexel,Fordham,3,0,CAA,A10,1
East Tennessee State,Kennesaw State,0,0,Southern,Atlantic Sun,1
Eastern Michigan,St. Bonaventure,2,2,MAC,A10,1
FGCU,Iowa,0,1,Atlantic Sun,Big Ten,1
Fairfield,Binghamton,2,0,MAAC,Am East,1
Florida,East Carolina,2,0,SEC,AAC,1
Florida Atlantic,Little Rock,2,2,AAC,OVC,1
Fresno State,Cal Poly,1,1,Mountain West,Big West,1
Gardner-Webb,Davidson,0,2,Big South,A10,1
George Mason,Old Dominion,0,3,A10,Sun Belt,1
George Washington,Delaware State,0,7,A10,Northeast,1
Georgia State,South Carolina State,0,12,Sun Belt,Indep.,1
Gonzaga,Houston Christian,0,3,WCC,Southland,1
Grand Canyon,Mississippi State,2,1,WAC,SEC,1
High Point,Campbell,2,2,Big South,CAA,1
Howard,Elon,3,3,Northeast,CAA,1
IUPUI,Southern Indiana,0,2,Horizon,OVC,1
Idaho,Seattle,1,3,Big Sky,WAC,1
Illinois,Loyola-Chicago,3,2,Big Ten,A10,1
Incarnate Word,Rice,2,0,Southland,AAC,1
Indiana,Illinois State,3,1,Big Ten,MVC,1
Iowa State,Arizona,1,2,Big 12,Pac-12,1
Jacksonville State,Alabama A&M,0,5,C-USA,SWAC,1
James Madison,Charlotte,3,2,Sun Belt,AAC,1
Kentucky,Eastern Kentucky,1,0,SEC,Atlantic Sun,1
