Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Jackson State,USC Upstate,1,2,SWAC,Big South,6,d1
Boston University,Colgate,2,0,Patriot,Patriot,6,d1
Bryant,Marist,2,0,Am East,MAAC,6,d1
Bucknell,American,1,0,Patriot,Patriot,6,d1
Coastal Carolina,Appalachian State,1,1,Sun Belt,Sun Belt,6,d1
Holy Cross,Army,0,0,Patriot,Patriot,6,d1
Idaho,Weber State,1,1,Big Sky,Big Sky,6,d1
Lafayette,Lehigh,1,0,Patriot,Patriot,6,d1
Loyola (MD),Navy,1,0,Patriot,Patriot,6,d1
Vermont,Siena College,2,1,Am East,MAAC,6,d1
Syracuse,Florida State,2,3,ACC,ACC,6,d1
Rutgers,Penn State,1,2,Big Ten,Big Ten,6,d1
Virginia,North Carolina,0,1,ACC,ACC,6,d1
Baylor,BYU,0,4,Big 12,Big 12,6,d1
Duke,Notre Dame,1,2,ACC,ACC,6,d1
Kentucky,South Carolina,0,0,SEC,SEC,6,d1
UTSA,Memphis,0,1,AAC,AAC,6,d1
Arkansas,Alabama,5,0,SEC,SEC,6,d1
Louisville,Pittsburgh,3,2,ACC,ACC,6,d1
Miami (FL),Clemson,0,5,ACC,ACC,6,d1
Texas,Texas Tech,1,2,Big 12,Big 12,6,d1
San Francisco,Santa Clara,3,0,WCC,WCC,6,d1
St. John's,Georgetown,1,3,Big East,Big East,6,d1
Northwestern,Michigan,0,2,Big Ten,Big Ten,6,d1
Xavier,Butler,1,1,Big East,Big East,6,d1
Georgia,LSU,2,3,SEC,SEC,6,d1
Air Force,Utah State,1,0,Mountain West,Mountain West,6,d1
Akron,Buffalo,0,2,MAC,MAC,6,d1
Arkansas State,Texas State,0,0,Sun Belt,Sun Belt,6,d1
Auburn,Missouri,3,2,SEC,SEC,6,d1
Ball State,Miami (OH),3,1,MAC,MAC,6,d1
Belmont,Murray State,0,0,MVC,MVC,6,d1
Boise State,Colorado College,2,1,Mountain West,Mountain West,6,d1
Boston College,Virginia Tech,1,2,ACC,ACC,6,d1
CSUN,UC Davis,0,0,Big West,Big West,6,d1
Cal State Fullerton,Hawaii,1,1,Big West,Big West,6,d1
California Baptist,Utah Valley,1,1,WAC,WAC,6,d1
Central Arkansas,FGCU,2,1,Atlantic Sun,Atlantic Sun,6,d1
Central Connecticut,LIU,1,0,Northeast,Northeast,6,d1
Central Michigan,Eastern Michigan,0,1,MAC,MAC,6,d1
Cincinnati,TCU,0,1,Big 12,Big 12,6,d1
College of Charleston,Hofstra,0,0,CAA,CAA,6,d1
Colorado State,Nevada,2,1,Mountain West,Mountain West,6,d1
Connecticut,Creighton,2,0,Big East,Big East,6,d1
Dayton,Davidson,3,0,A10,A10,6,d1
Delaware,Monmouth,0,1,CAA,CAA,6,d1
Drake,Southern Illinois,2,1,MVC,MVC,6,d1
Eastern Illinois,SIUE,1,2,OVC,OVC,6,d1
Elon,UNC Wilmington,1,1,CAA,CAA,6,d1
Evansville,Valparaiso,1,1,MVC,MVC,6,d1
Florida Atlantic,Temple,2,0,AAC,AAC,6,d1
Fordham,St. Bonaventure,1,3,A10,A10,6,d1
Fresno State,San Diego State,1,5,Mountain West,Mountain West,6,d1
Furman,East Tennessee State,0,0,Southern,Southern,6,d1
George Washington,La Salle,0,3,A10,A10,6,d1
Grand Canyon,Seattle,3,0,WAC,WAC,6,d1
Houston,UCF,0,1,Big 12,Big 12,6,d1
Howard,Alabama A&M,3,1,Northeast,SWAC,6,d1
IUPUI,Detroit Mercy,3,1,Horizon,Horizon,6,d1
Idaho State,Eastern Washington,3,2,Big Sky,Big Sky,6,d1
Illinois,Indiana,1,2,Big Ten,Big Ten,6,d1
Jacksonville,Austin Peay,2,3,Atlantic Sun,Atlantic Sun,6,d1
James Madison,Marshall,4,0,Sun Belt,Sun Belt,6,d1
Kennesaw State,Bellarmine,0,0,Atlantic Sun,Atlantic Sun,6,d1
Le Moyne,Stonehill,1,0,Northeast,Northeast,6,d1
Lindenwood,Tennessee Tech,0,3,OVC,OVC,6,d1
Little Rock,Southern Indiana,0,0,OVC,OVC,6,d1
Louisiana Tech,Jacksonville State,3,3,C-USA,C-USA,6,d1
Louisiana-Monroe,Georgia State,0,1,Sun Belt,Sun Belt,6,d1
Loyola-Chicago,Saint Joseph's,0,0,A10,A10,6,d1
Marquette,DePaul,2,1,Big East,Big East,6,d1
Maryland,Purdue,0,0,Big Ten,Big Ten,6,d1
Massachusetts,VCU,1,0,A10,A10,6,d1
Middle Tennessee,Liberty,0,1,C-USA,C-USA,6,d1
Minnesota,Michigan State,1,3,Big Ten,Big Ten,6,d1
Mississippi State,Texas A&M,0,1,SEC,SEC,6,d1
Missouri State,Illinois State,4,1,MVC,MVC,6,d1
Morehead State,UT Martin,2,0,OVC,OVC,6,d1
