Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Tougaloo College,Arkansas Pine Bluff,16,0,Gulf Coast Athletic,SWAC,1,naia
Northern Iowa,Viterbo,0,9,MVC,Midwest Collegiate,1,naia
Western Kentucky,Union (Ky.),0,5,C-USA,Appalachian Athletic,1,naia
Faulkner,Alabama State,1,1,Southern States,SWAC,1,naia
North American University,Arkansas Pine Bluff,4,2,Red River,SWAC,1,naia
Purdue Fort Wayne,St. Francis (Ind.),0,7,Horizon,Crossroads,1,naia
Presbyterian,Columbia International University,0,2,Big South,N/A,2,naia
Central Baptist,Arkansas Pine Bluff,0,0,Midlands Collegiate,SWAC,3,naia
Northern Iowa,Saint Ambrose,0,3,MVC,Midwest Collegiate,3,naia
South Dakota,Morningside,0,7,Summit,Great Plains Athletic,3,naia
Cal State San Marcos,Masters College,0,2,CCAA,Golden State Athletic,3,naia
Eastern Washington,University of Providence,1,16,Big Sky,Frontier,3,naia
Talladega College,Alabama State,4,0,Gulf Coast Athletic,SWAC,3,naia
Lyon College,Arkansas Pine Bluff,10,0,American Midwest,SWAC,3,naia
CSU Bakersfield,Westmont,0,1,Big West,Golden State Athletic,4,naia
Jacksonville,Warner,0,3,Atlantic Sun,The Sun,4,naia
Detroit Mercy,Concordia (Mich.),0,6,Horizon,Wolverine-Hoosier,4,naia
Belhaven,Mississippi Valley,2,1,Southern States,SWAC,5,naia
Cal State San Marcos,Westmont,0,5,CCAA,Golden State Athletic,5,naia
Southeast Missouri State,Columbia College (MO),0,1,OVC,American Midwest,5,naia
Alcorn State,Tougaloo College,0,13,SWAC,Gulf Coast Athletic,5,naia
