Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Jackson State,USC Upstate,2,1,SWAC,Big South
Boston University,Colgate,0,2,Patriot,Patriot
Bryant,Marist,2,0,Am East,MAAC
Bucknell,American,0,1,Patriot,Patriot
Coastal Carolina,Appalachian State,1,1,Sun Belt,Sun Belt
Holy Cross,Army,0,0,Patriot,Patriot
Idaho,Weber State,1,1,Big Sky,Big Sky
Lafayette,Lehigh,1,0,Patriot,Patriot
Loyola (MD),Navy,0,1,Patriot,Patriot
Vermont,Siena College,1,2,Am East,MAAC
Syracuse,Florida State,2,3,ACC,ACC
Rutgers,Penn State,1,2,Big Ten,Big Ten
Virginia,North Carolina,1,0,ACC,ACC
Baylor,BYU,0,4,Big 12,Big 12
Duke,Notre Dame,1,2,ACC,ACC
Kentucky,South Carolina,0,0,SEC,SEC
UTSA,Memphis,1,0,AAC,AAC
Arkansas,Alabama,5,0,SEC,SEC
Louisville,Pittsburgh,3,2,ACC,ACC
Miami (FL),Clemson,5,0,ACC,ACC
Texas,Texas Tech,1,2,Big 12,Big 12
San Francisco,Santa Clara,0,3,WCC,WCC
St. John's,Georgetown,3,1,Big East,Big East
Northwestern,Michigan,2,0,Big Ten,Big Ten
Xavier,Butler,1,1,Big East,Big East
Georgia,LSU,2,3,SEC,SEC
Air Force,Utah State,0,1,Mountain West,Mountain West
Akron,Buffalo,0,2,MAC,MAC
Arkansas State,Texas State,0,0,Sun Belt,Sun Belt
Auburn,Missouri,3,2,SEC,SEC
Ball State,Miami (OH),3,1,MAC,MAC
Belmont,Murray State,0,0,MVC,MVC
Boise State,Colorado College,2,1,Mountain West,Mountain West
Boston College,Virginia Tech,1,2,ACC,ACC
CSUN,UC Davis,0,0,Big West,Big West
Cal State Fullerton,Hawaii,1,1,Big West,Big West
California Baptist,Utah Valley,1,1,WAC,WAC
Central Arkansas,FGCU,2,1,Atlantic Sun,Atlantic Sun
Central Connecticut,LIU,0,1,Northeast,Northeast
Central Michigan,Eastern Michigan,0,1,MAC,MAC
Cincinnati,TCU,0,1,Big 12,Big 12
College of Charleston,Hofstra,0,0,CAA,CAA
Colorado State,Nevada,2,1,Mountain West,Mountain West
Connecticut,Creighton,0,2,Big East,Big East
Dayton,Davidson,0,3,A10,A10
Delaware,Monmouth,0,1,CAA,CAA
Drake,Southern Illinois,1,2,MVC,MVC
Eastern Illinois,SIUE,1,2,OVC,OVC
Elon,UNC Wilmington,1,1,CAA,CAA
Evansville,Valparaiso,1,1,MVC,MVC
Florida Atlantic,Temple,2,0,AAC,AAC
Fordham,St. Bonaventure,1,3,A10,A10
Fresno State,San Diego State,5,1,Mountain West,Mountain West
Furman,East Tennessee State,0,0,Southern,Southern
George Washington,La Salle,0,3,A10,A10
Grand Canyon,Seattle,3,0,WAC,WAC
Houston,UCF,1,0,Big 12,Big 12
Howard,Alabama A&M,3,1,Northeast,SWAC
IUPUI,Detroit Mercy,3,1,Horizon,Horizon
Idaho State,Eastern Washington,3,2,Big Sky,Big Sky
Illinois,Indiana,1,2,Big Ten,Big Ten
Jacksonville,Austin Peay,2,3,Atlantic Sun,Atlantic Sun
James Madison,Marshall,0,4,Sun Belt,Sun Belt
Kennesaw State,Bellarmine,0,0,Atlantic Sun,Atlantic Sun
Le Moyne,Stonehill,0,1,Northeast,Northeast
Lindenwood,Tennessee Tech,3,0,OVC,OVC
Little Rock,Southern Indiana,0,0,OVC,OVC
Louisiana Tech,Jacksonville State,3,3,C-USA,C-USA
Louisiana-Monroe,Georgia State,1,0,Sun Belt,Sun Belt
Loyola-Chicago,Saint Joseph's,0,0,A10,A10
Marquette,DePaul,2,1,Big East,Big East
Maryland,Purdue,0,0,Big Ten,Big Ten
Massachusetts,VCU,0,1,A10,A10
Middle Tennessee,Liberty,1,0,C-USA,C-USA
Minnesota,Michigan State,1,3,Big Ten,Big Ten
Mississippi State,Texas A&M,1,0,SEC,SEC
Missouri State,Illinois State,1,4,MVC,MVC
Morehead State,UT Martin,2,0,OVC,OVC
North Alabama,Stetson,2,0,Atlantic Sun,Atlantic Sun
North Dakota,Omaha,0,2,Summit,Summit
North Dakota State,UMKC,1,1,Summit,Summit
North Florida,Lipscomb,0,1,Atlantic Sun,Atlantic Sun
North Texas,Rice,6,0,AAC,AAC
Oakland,Northern Kentucky,1,1,Horizon,Horizon
Ohio State,Nebraska,2,1,Big Ten,Big Ten
Ohio University,Kent State,0,1,MAC,MAC
Oklahoma,Kansas State,0,2,Big 12,Big 12
Oklahoma State,Kansas,1,0,Big 12,Big 12
Old Dominion,Louisiana,0,1,Sun Belt,Sun Belt
Pepperdine,UC San Diego,0,4,WCC,Big West
Providence,Seton Hall,3,1,Big East,Big East
Purdue Fort Wayne,Cleveland State,1,0,Horizon,Horizon
Queens (N.C.),Eastern Kentucky,0,0,Atlantic Sun,Atlantic Sun
Rhode Island,Duquesne,0,1,A10,A10
Richmond,George Mason,0,1,A10,A10
SMU,Tulsa,0,0,AAC,AAC
Sacred Heart,Fairleigh Dickinson,0,1,Northeast,Northeast
Sam Houston State,Florida International,0,3,C-USA,C-USA
Samford,Western Carolina,0,1,Southern,Southern
San Jose State,New Mexico,1,1,Mountain West,Mountain West
South Alabama,Georgia Southern,1,2,Sun Belt,Sun Belt
South Dakota,St. Thomas (Minn.),1,3,Summit,Summit
South Florida,Charlotte,0,0,AAC,AAC
St. Francis (Pa.),Delaware State,0,5,Northeast,Northeast
Stephen F. Austin,Tarleton State,1,1,WAC,WAC
Tennessee,Florida,0,2,SEC,SEC
Toledo,Bowling Green,2,0,MAC,MAC
Troy,Southern Mississippi,2,1,Sun Belt,Sun Belt
UAB,East Carolina,1,1,AAC,AAC
UC Irvine,UC Santa Barbara,2,2,Big West,Big West
